"aou","year","num_observation"
"01320",2000,15484
"01320",2001,13776
"01320",2002,12356
"01320",2003,10956
"01320",2004,12522
"01320",2005,10915
"01320",2006,10651
"01320",2007,12460
"01320",2008,12236
"01320",2009,11828
"01320",2010,11282
"01320",2011,10896
"01320",2012,10756
"01320",2013,11762
"01320",2014,10697
"01320",2015,13037
"01320",2016,13524
"01320",2017,10878
"01320",2018,11639
"01320",2019,11058
"01320",2021,7986
"01320",2022,8547
"01330",2000,207
"01330",2001,186
"01330",2002,151
"01330",2003,170
"01330",2004,175
"01330",2005,142
"01330",2006,158
"01330",2007,188
"01330",2008,219
"01330",2009,146
"01330",2010,234
"01330",2011,181
"01330",2012,170
"01330",2013,128
"01330",2014,152
"01330",2015,123
"01330",2016,77
"01330",2017,108
"01330",2018,158
"01330",2019,133
"01330",2021,84
"01330",2022,130
"01340",2000,221
"01340",2001,229
"01340",2002,183
"01340",2003,165
"01340",2004,228
"01340",2005,319
"01340",2006,288
"01340",2007,278
"01340",2008,230
"01340",2009,270
"01340",2010,611
"01340",2011,403
"01340",2012,205
"01340",2013,191
"01340",2014,207
"01340",2015,117
"01340",2016,136
"01340",2017,154
"01340",2018,110
"01340",2019,126
"01340",2021,75
"01340",2022,65
"01350",2000,2811
"01350",2001,2700
"01350",2002,2609
"01350",2003,2437
"01350",2004,2261
"01350",2005,2447
"01350",2006,2742
"01350",2007,2497
"01350",2008,3596
"01350",2009,2129
"01350",2010,2511
"01350",2011,2511
"01350",2012,2612
"01350",2013,2276
"01350",2014,2052
"01350",2015,3107
"01350",2016,2272
"01350",2017,2454
"01350",2018,2443
"01350",2019,2022
"01350",2021,1603
"01350",2022,1754
"01360",2001,5
"01360",2003,2
"01360",2006,1
"01360",2009,1
"01360",2010,1
"01360",2018,1
"01370",2000,1099
"01370",2001,803
"01370",2002,925
"01370",2003,744
"01370",2004,728
"01370",2005,763
"01370",2006,713
"01370",2007,895
"01370",2008,684
"01370",2009,678
"01370",2010,826
"01370",2011,673
"01370",2012,698
"01370",2013,672
"01370",2014,632
"01370",2015,767
"01370",2016,703
"01370",2017,830
"01370",2018,689
"01370",2019,698
"01370",2021,698
"01370",2022,523
"01410",2000,413
"01410",2001,339
"01410",2002,382
"01410",2003,421
"01410",2004,459
"01410",2005,545
"01410",2006,508
"01410",2007,602
"01410",2008,410
"01410",2009,341
"01410",2010,370
"01410",2011,358
"01410",2012,376
"01410",2013,291
"01410",2014,255
"01410",2015,480
"01410",2016,405
"01410",2017,344
"01410",2018,397
"01410",2019,300
"01410",2021,260
"01410",2022,129
"01420",2000,1431
"01420",2001,990
"01420",2002,976
"01420",2003,824
"01420",2004,903
"01420",2005,1136
"01420",2006,992
"01420",2007,1419
"01420",2008,1443
"01420",2009,1327
"01420",2010,1608
