"iucn_red_list","common_name","genus","species","scientific_name","birth_or_hatching_weight_g","adult_body_mass_g","litter_or_clutch_size_n","litters_or_clutches_per_y","fledging_age_d","male_maturity_d","female_maturity_d","maximum_longevity_y","adult_svl_cm","aou","identifier"
"Least Concern","Mute Swan","Cygnus","olor","Cygnus olor",221.5,10230,5.95,1,135,1095,1183.569,70,142.5,"01782","https://xeno-canto.org/sounds/uploaded/THHNKSHUMO/XC165210-Cygne%20tubercul%C3%A9%20STE-017%20Hendaye%2021%20janv%2014%20cri%20alerte.mp3"
"Least Concern","Tufted Duck","Aythya","fuligula","Aythya fuligula",34.1,701.5,9.6,1,47.5,365,365,45.25,43.5,"01491","https://xeno-canto.org/sounds/uploaded/YSDNMROVID/XC340615-50_aytful_pra-kutsu2_Suomi_Virolahti_2009-05-15.mp3"
"Least Concern","Gadwall","Anas","strepera","Anas strepera",34.05,850,10,1,49.5,240,240,28,52,"01350",NA
"Least Concern","Tundra Swan","Cygnus","columbianus","Cygnus columbianus",181.25,6350,4,1,60.25,730,1001.069,24.1,135,"01800","https://xeno-canto.org/sounds/uploaded/ORZUOMZRBJ/XC454374-Bewick_Amance.mp3"
"Least Concern","Indian Peafowl","Pavo","cristatus","Pavo cristatus",120,4093.75,5,1,14,730.25,730,25,95,"03095","https://xeno-canto.org/sounds/uploaded/GLXCSCGBHB/XC251875-Peafowl.mp3"
"Near Threatened","Emperor Goose","Chen","canagica","Chen canagica",81.8,2718,4.95,1,55,365,727.702,12,77.5,"01760",NA
"Least Concern","Acorn Woodpecker","Melanerpes","formicivorus","Melanerpes formicivorus",4.7,79.05,4.9,2,31,766,694,17.25,23,"04070","https://xeno-canto.org/sounds/uploaded/UBZMIPGNRT/XC123309-Acorn_Woodpecker_Davis_Mts.mp3"
"Least Concern","Downy Woodpecker","Picoides","pubescens","Picoides pubescens",1.67,27.5,4.8,1.25,21.75,365,365,11.91666667,16,"03940",NA
"Least Concern","Mississippi Kite","Ictinia","mississippiensis","Ictinia mississippiensis",17,281,2,1,34,365,365,11.2,34,"03290","https://xeno-canto.org/sounds/uploaded/YBJUQSUJFZ/XC141554-Mississippi%20Kite.mp3"
"Least Concern","Cooper's Hawk","Accipiter","cooperii","Accipiter cooperii",28,452,4.35,1,32,730,730,20.33333333,42,"03330","https://xeno-canto.org/sounds/uploaded/MDZVOPUOXU/XC170082-LS100534.coopers.hawk.benner.20140315.mp3"
"Least Concern","Swainson's Hawk","Buteo","swainsoni","Buteo swainsoni",39.4,969.57,2.5,1,43,730,730,24.08333333,49,"03420","https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC139794-Buteo%20swansoni_Cheyene_1121.mp3"
"Least Concern","Ferruginous Hawk","Buteo","regalis","Buteo regalis",51.6,1469.5,3.75,1,46,730,730,23.7,58,"03480","https://xeno-canto.org/sounds/uploaded/YHKQPPJDVP/XC578147-200707_0193FEHA%2030m%20Chicken%200730%20mp3%20amp.mp3"
"Least Concern","American Kestrel","Falco","sparverius","Falco sparverius",9,115.5,4.6,1.25,30,365,365,17,24,"03600","https://xeno-canto.org/sounds/uploaded/YHKQPPJDVP/XC253935-Amke%20Call%200630%20mp3.mp3"
"Least Concern","Prairie Falcon","Falco","mexicanus","Falco mexicanus",30.6,754.5,4.25,1,38.5,365,545.968,20,42,"03550","https://xeno-canto.org/sounds/uploaded/GVVNEJJEGA/XC386260-PRFA_HAFL_2017-05-20_Bear_Canyon_Pryor_Mts_MT_0906%282%29.mp3"
"Least Concern","Roseate Spoonbill","Platalea","ajaja","Platalea ajaja",50,1500,3,1,52.5,1095,1095,28,75,"01830","https://xeno-canto.org/sounds/uploaded/RFTXRYBVBX/XC161507-Roseate%20Spoonbill%20among%20huge%20mixed%20flock%20-FL%2C%20Viera%2C%20Nov%2018%2C%202013%2C%201023%20AM.mp3"
"Least Concern","Wood Stork","Mycteria","americana","Mycteria americana",62,2500,3.02,1,53.75,1460,1460,27,95.25,"01880","https://xeno-canto.org/sounds/uploaded/PWDLINYMKL/XC131065-Wood%20StorkFL1.mp3"
"Least Concern","Northern Harrier","Circus","hudsonius","Circus hudsonius",21.8,436.5,4.5,1,36.25,365,584.4,17.1,45.75,"03310","https://xeno-canto.org/sounds/uploaded/YQNGFTBRRT/XC121401-NOHA_HavasuNWR_3Feb2013_Harter_1.mp3"
"Least Concern","Mottled Duck","Anas","fulvigula","Anas fulvigula",32.8,1082,10,1,55.5,365,365,29.1,57.5,"01340","https://xeno-canto.org/sounds/uploaded/RFTXRYBVBX/XC299240-Mottled%20Duck%20pair%20close%2C%20flt%20with%202%20more%20-FL%2C%20MINWR%2C%20Black%20Point%2C%20January%2009%2C%202016%2C%201013%20AM.mp3"
"Least Concern","Eurasian Wigeon","Anas","penelope","Anas penelope",23.5,757,9,1,42.5,365,365,35.16666667,48,"01360",NA
"Vulnerable","Chimney Swift","Chaetura","pelagica","Chaetura pelagica",1.25,23.5,4.5,1,30,365,365,15,13,"04230","https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC421312-Chaetura%20pelagica_Ithaca_ML0282181.mp3"
"Least Concern","Canada Goose","Branta","canadensis","Branta canadensis",102,3984.5,5.15,1,50.75,730,730,42,82.5,"01720","https://xeno-canto.org/sounds/uploaded/AMMGWAIZWI/XC116060-Canada_Goose_4.mp3"
"Least Concern","Egyptian Goose","Alopochen","aegyptiaca","Alopochen aegyptiaca",54,1900,8.484375,1,72.5,730,730,25.5,72,"20630","https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC281831-898%202%20Nijlgans%202%20Roep.mp3"
"Least Concern","Great Horned Owl","Bubo","virginianus","Bubo virginianus",34.7,1377.25,2.5,1,68.25,730,730,29,48,"03750","https://xeno-canto.org/sounds/uploaded/DINTDJNDSO/ghow_BDMP_ColumbusOH-8-15-2012-550am.mp3"
"Least Concern","Wild Turkey","Meleagris","gallopavo","Meleagris gallopavo",42.25,5811,11,1,14,365,304,13,85.5,"03100","https://xeno-canto.org/sounds/uploaded/OJMFAOUBDU/XC134744-JMJ-20130524-054500-0996-USA-MN-HylandLakeReserve-WITU.mp3"
"Least Concern","Ruddy Duck","Oxyura","jamaicensis","Oxyura jamaicensis",44,550,8,1,55.75,365,365,13.6,38.1,"01670","https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/RUDU2007-7-8.mp3"
"Least Concern","Monk Parakeet","Myiopsitta","monachus","Myiopsitta monachus",4.76,108.63,6,2,42,730,730,22.1,33,"03824","https://xeno-canto.org/sounds/uploaded/KTLCZCRCQX/XC123455-20110831-0603-1002-BR-MG-Pantanal%20Wildlife%20Center-Monk%20Parakeet.mp3"
"Least Concern","Greater Scaup","Aythya","marila","Aythya marila",44.9,959,9.4,1,42.75,365,455.101,22.1,45.5,"01480","https://xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Bergand-oroslate-Myvatn-2011-05-30-kl.06.27-00.46.mp3"
"Near Threatened","Common Eider","Somateria","mollissima","Somateria mollissima",72.7,2092,4.15,1,58,730,730,37.8,60.5,"01590","https://xeno-canto.org/sounds/uploaded/PWDLINYMKL/XC133832-Common%20EiderSC1.mp3"
